,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
33,1994-01-01,0.3815449549104742,0.2843964074526146,0.4484348201782017,0.3815449549104742,0.3815449549104742,-0.012335498333334529,-0.012335498333334529,-0.012335498333334529,-0.012335498333334529,-0.012335498333334529,-0.012335498333334529,0.0,0.0,0.0,0.36920945657713966
34,1995-01-01,0.4002951898593471,0.3089829231812807,0.46328300904967684,0.4002951898593471,0.4002951898593471,-0.01299557645269213,-0.01299557645269213,-0.01299557645269213,-0.01299557645269213,-0.01299557645269213,-0.01299557645269213,0.0,0.0,0.0,0.387299613406655
35,1996-01-01,0.4198145463848419,0.3234874768145545,0.48306735806924456,0.4198145463848419,0.4198145463848419,-0.016048364537395315,-0.016048364537395315,-0.016048364537395315,-0.016048364537395315,-0.016048364537395315,-0.016048364537395315,0.0,0.0,0.0,0.40376618184744656
36,1997-01-01,0.4393873805994474,0.34616187084233596,0.5122324807360633,0.4393873805994474,0.4393873805994474,-0.014066773938447007,-0.014066773938447007,-0.014066773938447007,-0.014066773938447007,-0.014066773938447007,-0.014066773938447007,0.0,0.0,0.0,0.42532060666100036
37,1998-01-01,0.45891887859631014,0.3664279994316911,0.5330123287558961,0.45891887859631014,0.45891887859631014,-0.012335498333331807,-0.012335498333331807,-0.012335498333331807,-0.012335498333331807,-0.012335498333331807,-0.012335498333331807,0.0,0.0,0.0,0.44658338026297834
38,1999-01-01,0.4784503765931733,0.3867729694356104,0.5507313023436379,0.4784503765931733,0.4784503765931733,-0.012995576452690455,-0.012995576452690455,-0.012995576452690455,-0.012995576452690455,-0.012995576452690455,-0.012995576452690455,0.0,0.0,0.0,0.46545480014048285
39,2000-01-01,0.4979877162683308,0.39105697129300904,0.5623459033245284,0.4979877162683308,0.4979877162683308,-0.016048364537406833,-0.016048364537406833,-0.016048364537406833,-0.016048364537406833,-0.016048364537406833,-0.016048364537406833,0.0,0.0,0.0,0.481939351730924
40,2001-01-01,0.5175788258864004,0.41748429613885296,0.5833496949815623,0.5175788258864004,0.5175788258864004,-0.014066773938488063,-0.014066773938488063,-0.014066773938488063,-0.014066773938488063,-0.014066773938488063,-0.014066773938488063,0.0,0.0,0.0,0.5035120519479123
41,2002-01-01,0.5371164078825625,0.4426760701209202,0.6097528789571653,0.5371164078825625,0.5371164078825625,-0.012335498333335786,-0.012335498333335786,-0.012335498333335786,-0.012335498333335786,-0.012335498333335786,-0.012335498333335786,0.0,0.0,0.0,0.5247809095492267
42,2003-01-01,0.556654696126177,0.4636591305334603,0.624399558016057,0.556654696126177,0.556654696126177,-0.012995576452677049,-0.012995576452677049,-0.012995576452677049,-0.012995576452677049,-0.012995576452677049,-0.012995576452677049,0.0,0.0,0.0,0.5436591196735
