,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
25,1984-01-01,47.42807176775918,344.3711282661793,345.16210334940286,47.42807176775918,47.42807176775918,297.33333399461986,297.33333399461986,297.33333399461986,297.33333399461986,297.33333399461986,297.33333399461986,0.0,0.0,0.0,344.761405762379
26,1985-01-01,48.999489119310894,345.8954965325742,346.72896504048185,48.999489119310894,48.999489119310894,297.32963566385496,297.32963566385496,297.32963566385496,297.32963566385496,297.32963566385496,297.32963566385496,0.0,0.0,0.0,346.32912478316587
27,1986-01-01,50.56661298083103,347.48392672800406,348.3029832767927,50.56661298083103,50.56661298083103,297.31945219784785,297.31945219784785,297.31945219784785,297.31945219784785,297.31945219784785,297.31945219784785,0.0,0.0,0.0,347.8860651786789
28,1987-01-01,52.307636926667385,349.2236015752572,350.03525605971225,52.307636926667385,52.307636926667385,297.31313995120644,297.31313995120644,297.31313995120644,297.31313995120644,297.31313995120644,297.31313995120644,0.0,0.0,0.0,349.6207768778738
29,1988-01-01,54.04866087250374,350.9489536774371,351.8162841428018,54.04866087250374,54.04866087250374,297.3333339946357,297.3333339946357,297.3333339946357,297.3333339946357,297.3333339946357,297.3333339946357,0.0,0.0,0.0,351.38199486713944
30,1989-01-01,55.563228385560805,352.4941376402716,353.3321676055704,55.563228385560805,55.563228385560805,297.32963566388537,297.32963566388537,297.32963566388537,297.32963566388537,297.32963566388537,297.32963566388537,0.0,0.0,0.0,352.8928640494462
31,1990-01-01,57.073657736013864,354.01342241047877,354.7905410213332,57.073657736013864,57.073657736013864,297.3194521978554,297.3194521978554,297.3194521978554,297.3194521978554,297.3194521978554,297.3194521978554,0.0,0.0,0.0,354.39310993386925
32,1991-01-01,58.196379593433946,355.0624498289538,355.9357527342703,58.196379593433946,58.196379593433946,297.31313995122696,297.31313995122696,297.31313995122696,297.31313995122696,297.31313995122696,297.31313995122696,0.0,0.0,0.0,355.5095195446609
33,1992-01-01,59.319101450854035,356.2538715582966,357.0449901172671,59.319101450854035,59.319101450854035,297.3333339946032,297.3333339946032,297.3333339946032,297.3333339946032,297.3333339946032,297.3333339946032,0.0,0.0,0.0,356.65243544545723
34,1993-01-01,60.456361704427636,357.3630271305149,358.20296804793395,60.456361704427636,60.456361704427636,297.32963566382557,297.32963566382557,297.32963566382557,297.32963566382557,297.32963566382557,297.32963566382557,0.0,0.0,0.0,357.7859973682532
35,1994-01-01,61.59051468954884,358.4934879576671,359.32055232090653,61.59051468954884,61.59051468954884,297.3194521978618,297.3194521978618,297.3194521978618,297.3194521978618,297.3194521978618,297.3194521978618,0.0,0.0,0.0,358.90996688741063
36,1995-01-01,63.435757061095934,360.32881748456987,361.15622039922596,63.435757061095934,63.435757061095934,297.3131399512738,297.3131399512738,297.3131399512738,297.3131399512738,297.3131399512738,297.3131399512738,0.0,0.0,0.0,360.74889701236975
37,1996-01-01,65.28099943264301,362.2040698044626,363.03250289481156,65.28099943264301,65.28099943264301,297.3333339945601,297.3333339945601,297.3333339945601,297.3333339945601,297.3333339945601,297.3333339945601,0.0,0.0,0.0,362.6143334272031
38,1997-01-01,67.13129725927948,364.03708292660167,364.8744501927612,67.13129725927948,67.13129725927948,297.3296356638487,297.3296356638487,297.3296356638487,297.3296356638487,297.3296356638487,297.3296356638487,0.0,0.0,0.0,364.4609329231282
39,1998-01-01,68.97653962737321,365.8959624489966,366.7216517986261,68.97653962737321,68.97653962737321,297.3194521978436,297.3194521978436,297.3194521978436,297.3194521978436,297.3194521978436,297.3194521978436,0.0,0.0,0.0,366.2959918252168
40,1999-01-01,70.79942959800117,367.7341065107672,368.5406275858146,70.79942959800117,70.79942959800117,297.31313995125277,297.31313995125277,297.31313995125277,297.31313995125277,297.31313995125277,297.31313995125277,0.0,0.0,0.0,368.1125695492539
41,2000-01-01,72.62231956862914,369.5207951940816,370.3603961540375,72.62231956862914,72.62231956862914,297.33333399462225,297.33333399462225,297.33333399462225,297.33333399462225,297.33333399462225,297.33333399462225,0.0,0.0,0.0,369.9556535632514
42,2001-01-01,74.45262169206451,371.3524335304399,372.22120066182123,74.45262169206451,74.45262169206451,297.32963566395307,297.32963566395307,297.32963566395307,297.32963566395307,297.32963566395307,297.32963566395307,0.0,0.0,0.0,371.78225735601757
43,2002-01-01,76.27792299002601,373.18785256781894,374.01065339951384,76.27792299002601,76.27792299002601,297.31945219784575,297.31945219784575,297.31945219784575,297.31945219784575,297.31945219784575,297.31945219784575,0.0,0.0,0.0,373.59737518787176
44,2003-01-01,78.36883100775701,375.2745589721804,376.0769777346665,78.36883100775701,78.36883100775701,297.3131399512265,297.3131399512265,297.3131399512265,297.3131399512265,297.3131399512265,297.3131399512265,0.0,0.0,0.0,375.6819709589835
45,2004-01-01,80.45973902548802,377.3929455219127,378.2143975659813,80.45973902548802,80.45973902548802,297.33333399459457,297.33333399459457,297.33333399459457,297.33333399459457,297.33333399459457,297.33333399459457,0.0,0.0,0.0,377.7930730200826
46,2005-01-01,82.5563754155778,379.4840014580371,380.2850988773955,82.5563754155778,82.5563754155778,297.3296356637622,297.3296356637622,297.3296356637622,297.3296356637622,297.3296356637622,297.3296356637622,0.0,0.0,0.0,379.88601107934
47,2006-01-01,84.64728329094059,381.5551667975371,382.36251922201876,84.64728329094059,84.64728329094059,297.3194521978849,297.3194521978849,297.3194521978849,297.3194521978849,297.3194521978849,297.3194521978849,0.0,0.0,0.0,381.9667354888255
48,2007-01-01,86.23308948748813,383.1109864989757,383.91099189729465,86.23308948748813,86.23308948748813,297.3131399511611,297.3131399511611,297.3131399511611,297.3131399511611,297.3131399511611,297.3131399511611,0.0,0.0,0.0,383.5462294386492
49,2008-01-01,87.81889568403567,384.7414991237284,385.55308880771184,87.81889568403567,87.81889568403567,297.333333994577,297.333333994577,297.333333994577,297.333333994577,297.333333994577,297.333333994577,0.0,0.0,0.0,385.1522296786127
50,2009-01-01,90.20592022802549,387.1162063174466,387.9651593573718,90.20592022802549,90.20592022802549,297.32963566389145,297.32963566389145,297.32963566389145,297.32963566389145,297.32963566389145,297.32963566389145,0.0,0.0,0.0,387.53555589191694
51,2010-01-01,92.58642284703171,389.47974853763805,390.2799853353309,92.58642284703171,92.58642284703171,297.31945219786076,297.31945219786076,297.31945219786076,297.31945219786076,297.31945219786076,297.31945219786076,0.0,0.0,0.0,389.90587504489247
52,2011-01-01,94.96692546603795,391.8893188417955,392.69387886309255,94.96692546603795,94.96692546603795,297.31313995129915,297.31313995129915,297.31313995129915,297.31313995129915,297.31313995129915,297.31313995129915,0.0,0.0,0.0,392.2800654173371
53,2012-01-01,97.34742808504423,394.2460570167667,395.0776028367159,97.34742808504423,97.34742808504423,297.33333399463567,297.33333399463567,297.33333399463567,297.33333399463567,297.33333399463567,297.33333399463567,0.0,0.0,0.0,394.6807620796799
54,2013-01-01,99.73445262903402,396.6798400133832,397.48096382981595,99.73445262903402,99.73445262903402,297.3296356639585,297.3296356639585,297.3296356639585,297.3296356639585,297.3296356639585,297.3296356639585,0.0,0.0,0.0,397.06408829299255
55,2014-01-01,102.11495524804026,399.04566092918856,399.8474362503273,102.11495524804026,102.11495524804026,297.31945219782745,297.31945219782745,297.31945219782745,297.31945219782745,297.31945219782745,297.31945219782745,0.0,0.0,0.0,399.4344074458677
56,2015-01-01,104.49545786704651,401.40141079320483,402.19979500671184,104.49545786704651,104.49545786704651,297.3131399512455,297.3131399512455,297.3131399512455,297.3131399512455,297.3131399512455,297.3131399512455,0.0,0.0,0.0,401.808597818292
57,2016-01-01,106.87596048605276,403.80954902099313,404.6219695094217,106.87596048605276,106.87596048605276,297.33333399470166,297.33333399470166,297.33333399470166,297.33333399470166,297.33333399470166,297.33333399470166,0.0,0.0,0.0,404.2092944807544
